ACCIDENT_NO,ANY_TRAILER,NUM_VEHICLES
T20120002772,0,2
T20120002773,0,1
T20120002776,0,2
T20120002777,0,1
T20120002778,0,2
T20120002779,0,1
T20120002782,0,2
T20120002784,0,2
T20120002787,0,1
T20120002791,0,1
T20120002794,0,2
T20120002799,0,2
T20120002805,0,2
T20120002809,0,2
T20120002810,0,2
T20120002811,0,1
T20120002812,0,1
T20120002813,0,2
T20120002815,0,2
T20120002816,0,2
T20120002818,0,1
T20120002824,0,1
T20120002825,0,2
T20120002826,0,2
T20120002827,0,2
T20120002828,0,2
T20120002829,0,1
T20120002831,0,1
T20120002835,0,1
T20120002838,0,4
T20120002839,0,1
T20120002841,0,2
T20120002843,0,2
T20120002845,0,2
T20120002846,0,1
T20120002847,0,1
T20120002848,0,2
T20120002852,1,2
T20120002854,0,2
T20120002855,0,2
T20120002856,0,1
T20120002858,0,2
T20120002862,0,1
T20120002863,0,2
T20120002864,0,2
T20120002865,0,2
T20120002866,0,3
T20120002867,0,2
T20120002868,0,2
T20120002869,0,2
T20120002872,0,1
T20120002874,0,2
T20120002877,0,2
T20120002880,0,1
T20120002882,0,2
T20120002884,0,2
T20120002886,0,2
T20120002887,0,1
T20120002888,0,2
T20120002889,0,2
T20120002890,1,2
T20120002891,0,3
T20120002894,0,2
T20120002899,0,1
T20120002900,0,2
T20120002901,0,1
T20120002903,0,2
T20120002906,0,1
T20120002907,0,8
T20120002908,0,2
T20120002911,0,2
T20120002912,0,2
T20120002914,0,2
T20120002917,0,1
T20120002918,0,3
T20120002920,0,1
T20120002921,0,1
T20120002922,0,2
T20120002923,0,3
T20120002926,0,2
T20120002927,1,3
T20120002932,0,1
T20120002937,0,2
T20120002938,0,1
T20120002939,0,3
T20120002940,0,1
T20120002941,0,1
T20120002952,0,2
T20120002953,0,2
T20120002955,0,2
T20120002958,0,2
T20120002959,0,3
T20120002960,0,1
T20120002961,0,2
T20120002965,0,2
T20120002966,0,1
T20120002968,0,1
T20120002969,0,2
T20120002970,0,3
T20120002972,0,2
T20120002974,0,2
T20120002976,0,2
T20120002977,0,1
T20120002978,0,2
T20120002979,0,2
T20120002980,0,1
T20120002982,0,1
T20120002983,0,1
T20120002986,0,1
T20120002987,0,2
T20120002988,0,1
T20120002993,0,3
T20120002997,0,1
T20120002998,0,2
T20120002999,0,2
T20120003001,0,2
T20120003003,0,2
T20120003004,0,2
T20120003007,0,2
T20120003008,0,5
T20120003009,0,2
T20120003012,0,1
T20120003019,0,2
T20120003024,0,2
T20120003026,0,2
T20120003030,0,2
T20120003031,0,2
T20120003035,0,2
T20120003037,0,2
T20120003040,0,2
T20120003041,0,2
T20120003044,0,4
T20120003046,0,2
T20120003053,0,1
T20120003055,0,1
T20120003056,0,1
T20120003062,0,1
T20120003063,0,2
T20120003066,0,2
T20120003067,0,2
T20120003069,0,1
T20120003070,0,3
T20120003071,0,1
T20120003072,0,3
T20120003076,0,2
T20120003077,0,2
T20120003081,0,2
T20120003083,0,2
T20120003088,0,1
T20120003092,0,1
T20120003095,0,1
T20120003097,0,2
T20120003099,1,2
T20120003100,0,1
T20120003103,0,2
T20120003105,0,2
T20120003106,0,2
T20120003107,0,3
T20120003108,0,2
T20120003110,0,2
T20120003113,0,2
T20120003115,0,2
T20120003124,1,1
T20120003126,0,2
T20120003131,0,1
T20120003132,0,2
T20120003135,0,1
T20120003139,0,1
T20120003141,0,2
T20120003142,0,3
T20120003143,0,1
T20120003147,0,2
T20120003152,0,2
T20120003154,0,2
T20120003156,0,3
T20120003157,0,1
T20120003158,0,3
T20120003163,1,1
T20120003164,0,4
T20120003165,0,2
T20120003169,0,2
T20120003170,0,2
T20120003171,0,1
T20120003172,0,2
T20120003174,0,1
T20120003175,0,1
T20120003176,0,3
T20120003177,0,2
T20120003179,0,2
T20120003181,0,2
T20120003186,0,2
T20120003187,0,1
T20120003188,0,2
T20120003192,0,2
T20120003194,0,2
T20120003197,0,2
T20120003202,0,2
T20120003205,0,2
T20120003206,0,2
T20120003208,0,1
T20120003210,0,2
T20120003211,0,2
T20120003214,1,2
T20120003216,0,1
T20120003219,0,1
T20120003223,0,2
T20120003225,0,1
T20120003228,0,1
T20120003232,0,2
T20120003233,0,1
T20120003242,0,1
T20120003244,0,2
T20120003245,0,2
T20120003252,0,2
T20120003253,0,2
T20120003254,0,1
T20120003256,0,2
T20120003257,0,2
T20120003258,0,2
T20120003259,0,1
T20120003263,0,2
T20120003266,0,2
T20120003267,0,1
T20120003270,0,2
T20120003271,0,1
T20120003275,0,2
T20120003276,0,2
T20120003277,0,2
T20120003279,0,2
T20120003280,0,3
T20120003283,0,1
T20120003285,0,1
T20120003292,0,2
T20120003295,0,1
T20120003296,0,3
T20120003297,0,2
T20120003299,0,2
T20120003301,0,1
T20120003302,0,2
T20120003303,0,2
T20120003304,0,1
T20120003305,0,2
T20120003306,0,2
T20120003308,1,2
T20120003309,0,3
T20120003312,0,1
T20120003313,0,2
T20120003314,0,2
T20120003317,0,3
T20120003326,0,1
T20120003327,0,2
T20120003328,1,2
T20120003332,0,2
T20120003334,0,2
T20120003335,0,2
T20120003336,0,1
T20120003337,1,1
T20120003338,0,1
T20120003343,0,2
T20120003345,0,2
T20120003346,0,2
T20120003349,0,1
T20120003350,0,1
T20120003352,0,2
T20120003357,0,4
T20120003360,0,2
T20120003361,0,1
T20120003362,0,1
T20120003363,0,2
T20120003369,0,2
T20120003371,0,1
T20120003372,0,1
T20120003374,0,1
T20120003375,0,2
T20120003380,0,3
T20120003381,0,2
T20120003384,0,3
T20120003385,0,2
T20120003386,0,2
T20120003387,0,2
T20120003394,0,1
T20120003396,0,2
T20120003397,0,1
